"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","32.4% ","suppressed","suppressed","50.4% ","suppressed","24.7% ","28.6% ","36.9% ","4.58% ","suppressed","suppressed","6.03% ","suppressed","1.98% ","6.91% ","5.18% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","22.4% ","suppressed","suppressed","suppressed","31.3% ","20.2% ","suppressed","22.4% ","1.55% ","suppressed","suppressed","suppressed","2.92% ","1.58% ","suppressed","1.59% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","21.3% ","suppressed","25.9% ","15.6% ","21.1% ","22.2% ","22.3% ","21.1% ","2.43% ","suppressed","6.15% ","3.02% ","2.66% ","4.17% ","4.12% ","2.79% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","4.4%*","suppressed","0% ","9.5%*","0.3%*","0% ","20.6%*","0.7%*","2.28%*","suppressed","0% ","5.69%*","0.31%*","0% ","11.24%*","0.52%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","71.2% ","0% ","0% ","24.3%*","82.2% ","92.0% ","12.1%*","84.4% ","4.61% ","0% ","0% ","14.81%*","8.38% ","2.94% ","9.17%*","3.83% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","18.3% ","suppressed","25.9% ","14.5% ","11.3%*","22.3% ","21.4% ","15.5% ","2.42% ","suppressed","6.15% ","3.00% ","4.22%*","3.19% ","4.39% ","2.26% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","22.8% ","suppressed","suppressed","suppressed","26.1% ","22.2% ","32.8% ","22.6% ","3.67% ","suppressed","suppressed","suppressed","2.50% ","4.50% ","2.61% ","3.71% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,652 ","suppressed","suppressed","15,261 ","18,048 ","18,500 ","16,185 ","17,903 ","599.23 ","suppressed","suppressed","1530.45 ","1238.16 ","632.69 ","2110.54 ","587.48 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","15,754 ","suppressed","suppressed","15,331 ","16,290 ","17,562 ","16,042 ","15,541 ","1235.83 ","suppressed","suppressed","1667.13 ","2206.27 ","1585.22 ","2267.95 ","1345.55 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","18,537 ","suppressed","suppressed","suppressed","18,756 ","18,589 ","suppressed","18,546 ","604.57 ","suppressed","suppressed","suppressed","1500.50 ","671.26 ","suppressed","614.22 "
