"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","29,619 ","25,137 ","25,627 ","29,215 ","30,477 ","30,308 ","27,129 ","30,238 ","1101.42 ","2965.55 ","1206.92 ","1131.47 ","1734.04 ","1932.75 ","1178.04 ","1337.94 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","32,176 ","suppressed","25,369 ","29,436 ","30,674 ","37,100 ","26,254 ","35,333 ","1595.62 ","suppressed","2113.06 ","1837.26 ","2640.39 ","1657.07 ","1500.01 ","1571.69 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","28,561 ","suppressed","25,682 ","29,627 ","30,304 ","28,005 ","27,442 ","28,714 ","1224.76 ","suppressed","1252.91 ","1515.59 ","1991.83 ","1959.04 ","2093.97 ","1372.26 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","28,474 ","33,811 ","26,478 ","22,819 ","32,916 ","26,398 ","30,669 ","27,367 ","1428.84 ","1949.95 ","2442.56 ","901.74 ","2122.90 ","378.33 ","2342.29 ","1382.59 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","28,425 ","25,137 ","27,078 ","29,351 ","29,403 ","27,053 ","27,697 ","28,844 ","798.83 ","2965.55 ","1110.85 ","1158.17 ","1658.32 ","1024.59 ","1275.45 ","1062.27 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","30,717 ","suppressed","22,851 ","suppressed","35,643 ","30,709 ","22,988 ","31,091 ","1932.00 ","suppressed","1233.38 ","suppressed","2503.70 ","2161.21 ","1115.74 ","2006.68 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,501 ","suppressed","suppressed","10,852 ","8,496 ","6,758 ","7,943 ","7,392 ","570.72 ","suppressed","suppressed","1986.20 ","1394.54 ","621.95 ","1642.26 ","580.11 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,243 ","suppressed","suppressed","suppressed","7,079 ","8,087 ","5,439 ","8,205 ","817.21 ","suppressed","suppressed","suppressed","1162.01 ","1313.94 ","923.82 ","1019.53 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,684 ","suppressed","suppressed","12,349 ","8,831 ","6,394 ","11,651 ","7,141 ","754.09 ","suppressed","suppressed","2784.05 ","1788.38 ","539.75 ","3465.82 ","647.74 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,715 ","suppressed","suppressed","11,189 ","9,725 ","suppressed","suppressed","7,049 ","1519.36 ","suppressed","suppressed","624.86 ","606.02 ","suppressed","suppressed","1716.03 "
