"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","32,086 ","suppressed","suppressed","24,128 ","31,052 ","35,843 ","27,671 ","33,115 ","2801.80 ","suppressed","suppressed","2960.15 ","4999.00 ","3613.10 ","4183.20 ","3073.81 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","27,661 ","29,961 ","31,724 ","30,496 ","27,610 ","25,510 ","30,419 ","26,517 ","1080.39 ","4457.65 ","2431.77 ","3188.71 ","1500.85 ","1067.86 ","2759.67 ","919.74 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","32,001 ","suppressed","suppressed","24,998 ","27,107 ","33,448 ","29,431 ","32,062 ","1514.57 ","suppressed","suppressed","1956.62 ","3286.81 ","1639.02 ","4360.80 ","1544.63 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,075 ","9,296*","suppressed","12,749 ","7,057 ","6,092 ","9,527 ","6,596 ","553.81 ","4652.82*","suppressed","1558.14 ","777.85 ","514.54 ","2569.85 ","424.11 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,738 ","suppressed","suppressed","22,386 ","9,373 ","4,219 ","7,175*","5,463 ","759.87 ","suppressed","suppressed","3769.34 ","1291.36 ","576.49 ","3223.24*","667.06 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,698 ","suppressed","suppressed","11,058 ","6,169 ","6,844 ","11,792*","6,922 ","770.90 ","suppressed","suppressed","1384.89 ","934.35 ","664.00 ","3594.64*","550.05 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,269 ","0 ","suppressed","suppressed","7,302 ","5,495 ","suppressed","6,939 ","1023.34 ","0 ","suppressed","suppressed","2032.90 ","326.31 ","suppressed","1028.40 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,132 ","9,401*","suppressed","13,315 ","6,896 ","6,984 ","9,733 ","7,467 ","975.77 ","4703.72*","suppressed","1783.48 ","1076.95 ","887.09 ","2753.13 ","712.43 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,938 ","suppressed","suppressed","suppressed","7,244 ","5,532 ","suppressed","5,918 ","523.35 ","suppressed","suppressed","suppressed","1095.11 ","614.96 ","suppressed","531.87 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","23.8% ","31.2%*","suppressed","43.1% ","25.8% ","20.0% ","31.4% ","22.3% ","1.92% ","13.27%*","suppressed","6.00% ","2.70% ","2.02% ","7.55% ","1.65% "
