"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","28,248 ","30,054 ","23,152 ","26,076 ","30,709 ","27,647 ","27,996 ","28,288 ","905.61 ","3568.42 ","3482.52 ","2759.97 ","2034.70 ","908.52 ","2187.66 ","991.99 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","25,864 ","suppressed","suppressed","suppressed","29,749 ","25,121 ","suppressed","26,462 ","1760.07 ","suppressed","suppressed","suppressed","3334.73 ","2290.84 ","suppressed","1903.77 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","28,878 ","32,157 ","27,856 ","30,454 ","30,003 ","27,690 ","31,198 ","28,513 ","869.38 ","4333.12 ","5113.65 ","2220.91 ","1871.25 ","1039.08 ","2469.79 ","915.92 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","26,819 ","suppressed","suppressed","16,747 ","suppressed","29,888 ","suppressed","28,660 ","3717.84 ","suppressed","suppressed","1532.78 ","suppressed","1869.32 ","suppressed","4419.29 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","27,224 ","30,488 ","23,152 ","25,822 ","30,475 ","26,324 ","28,142 ","26,796 ","1207.39 ","3620.16 ","3482.52 ","2951.43 ","1504.95 ","1866.95 ","2205.57 ","1411.36 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","29,006 ","suppressed","suppressed","suppressed","30,831 ","28,084 ","suppressed","29,044 ","1267.15 ","suppressed","suppressed","suppressed","3011.55 ","1038.75 ","suppressed","1270.09 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,838 ","suppressed","suppressed","8,684 ","6,838 ","8,366 ","7,377 ","7,911 ","668.21 ","suppressed","suppressed","2174.36 ","695.17 ","1126.69 ","1029.80 ","757.82 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,593 ","suppressed","suppressed","suppressed","7,830 ","5,132 ","suppressed","6,354 ","787.33 ","suppressed","suppressed","suppressed","938.11 ","913.74 ","suppressed","751.39 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,605 ","suppressed","suppressed","11,993 ","6,841 ","9,064 ","7,946 ","8,708 ","804.91 ","suppressed","suppressed","2259.83 ","798.61 ","1297.24 ","1306.55 ","909.83 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,699 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4,794*","1332.74 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1606.79*"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,179 ","suppressed","suppressed","8,947 ","8,545 ","11,497*","7,318 ","10,047 ","1326.33 ","suppressed","suppressed","2428.61 ","793.68 ","3664.61*","1039.19 ","1875.91 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,845 ","suppressed","suppressed","suppressed","5,953 ","7,331 ","suppressed","6,830 ","532.11 ","suppressed","suppressed","suppressed","744.08 ","688.18 ","suppressed","533.00 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.7% ","suppressed","suppressed","33.3% ","22.3% ","30.3% ","26.4% ","28.0% ","2.31% ","suppressed","suppressed","7.41% ","2.15% ","3.94% ","4.03% ","2.60% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.5% ","suppressed","suppressed","suppressed","26.3% ","20.4% ","suppressed","24.0% ","3.48% ","suppressed","suppressed","suppressed","2.46% ","4.95% ","suppressed","3.23% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.8% ","suppressed","suppressed","39.4% ","22.8% ","32.7% ","25.5% ","30.5% ","2.74% ","suppressed","suppressed","9.24% ","2.33% ","4.50% ","4.50% ","3.11% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","17.5% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","16.7% ","3.78% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.10% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","33.7% ","suppressed","suppressed","34.6% ","28.0% ","43.7% ","26.0% ","37.5% ","4.49% ","suppressed","suppressed","8.18% ","3.48% ","12.57% ","4.01% ","6.17% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.6% ","suppressed","suppressed","suppressed","19.3% ","26.1% ","suppressed","23.5% ","1.85% ","suppressed","suppressed","suppressed","1.81% ","2.45% ","suppressed","1.84% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.8% ","27.9% ","19.5% ","30.2% ","24.1% ","24.5% ","25.1% ","24.8% ","1.28% ","6.30% ","4.36% ","4.77% ","2.74% ","1.48% ","2.99% ","1.41% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","10.2%*","suppressed","suppressed","24.6%*","5.2%*","5.7%*","25.3%*","7.8%*","3.22%*","suppressed","suppressed","15.23%*","3.77%*","3.41%*","7.92%*","3.51%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","57.5% ","suppressed","0% ","9.8%*","65.9% ","75.2% ","1.2%*","66.4% ","5.01% ","suppressed","0% ","6.28%*","9.93% ","6.27% ","0.91%*","5.36% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","24.0% ","28.9% ","22.6% ","30.8% ","18.0% ","24.6% ","26.9% ","22.8% ","2.02% ","6.58% ","4.65% ","5.25% ","3.17% ","3.12% ","3.06% ","2.52% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.5% ","suppressed","0% ","suppressed","29.1% ","24.5% ","suppressed","25.9% ","1.56% ","suppressed","0% ","suppressed","3.31% ","1.62% ","suppressed","1.56% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","19,330 ","20,579 ","20,441 ","19,450 ","19,818 ","18,796 ","20,228 ","19,179 ","469.94 ","1485.63 ","2256.37 ","1119.37 ","1187.84 ","504.25 ","1149.22 ","508.02 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,910 ","20,693 ","16,813 ","19,334 ","19,283 ","17,667 ","19,309 ","18,744 ","634.57 ","1530.25 ","2470.37 ","1247.33 ","1237.41 ","880.42 ","1141.22 ","755.53 "
