"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","23,101 ","suppressed","suppressed","suppressed","20,777 ","24,214 ","suppressed","23,764 ","1172.11 ","suppressed","suppressed","suppressed","529.36 ","1343.62 ","suppressed","1165.19 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,138 ","24,043 ","20,179 ","23,397 ","26,184 ","25,918 ","25,523 ","25,048 ","1048.87 ","593.57 ","2470.28 ","4555.60 ","2213.04 ","884.64 ","2936.76 ","1077.48 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","23,659 ","suppressed","suppressed","suppressed","28,662 ","22,931 ","suppressed","24,136 ","1435.36 ","suppressed","suppressed","suppressed","2684.03 ","1374.77 ","suppressed","1455.53 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,505 ","suppressed","21,517 ","24,378 ","24,749 ","22,827 ","22,526 ","23,989 ","904.07 ","suppressed","1382.54 ","1711.59 ","2115.16 ","721.68 ","1426.76 ","1195.45 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","24,998 ","suppressed","suppressed","suppressed","26,756 ","25,327 ","suppressed","24,878 ","1045.19 ","suppressed","suppressed","suppressed","2186.73 ","836.44 ","suppressed","967.24 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,955 ","suppressed","suppressed","8,510 ","8,362 ","5,969 ","7,568 ","6,820 ","398.41 ","suppressed","suppressed","1561.03 ","704.09 ","421.97 ","1169.54 ","410.16 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,816 ","suppressed","suppressed","suppressed","10,859 ","5,082 ","suppressed","7,001 ","1058.86 ","suppressed","suppressed","suppressed","2026.07 ","829.56 ","suppressed","1193.52 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,212 ","suppressed","suppressed","7,960 ","7,379 ","6,816 ","8,479 ","6,917 ","421.29 ","suppressed","suppressed","1537.31 ","538.57 ","445.83 ","1327.94 ","396.58 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,134 ","suppressed","suppressed","suppressed","10,374 ","4,397 ","suppressed","6,183 ","1156.97 ","suppressed","suppressed","suppressed","631.53 ","793.03 ","suppressed","1178.95 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,628 ","suppressed","suppressed","9,794 ","8,855 ","7,733 ","7,294 ","9,289 ","742.36 ","suppressed","suppressed","2361.43 ","974.57 ","632.32 ","1526.64 ","771.93 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,075 ","suppressed","suppressed","suppressed","7,644 ","5,681 ","suppressed","5,852 ","430.39 ","suppressed","suppressed","suppressed","804.49 ","451.01 ","suppressed","409.66 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","28.4% ","suppressed","suppressed","36.1% ","32.7% ","23.9% ","31.8% ","27.7% ","1.76% ","suppressed","suppressed","6.76% ","3.85% ","1.82% ","5.79% ","1.77% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.5% ","suppressed","suppressed","suppressed","52.3% ","21.0% ","suppressed","29.5% ","5.29% ","suppressed","suppressed","suppressed","8.73% ","4.55% ","suppressed","5.83% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.7% ","suppressed","suppressed","34.0% ","28.2% ","26.3% ","33.2% ","27.6% ","1.84% ","suppressed","suppressed","5.45% ","3.56% ","2.04% ","6.21% ","1.79% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.9% ","suppressed","suppressed","suppressed","36.2% ","19.2% ","suppressed","25.6% ","5.20% ","suppressed","suppressed","suppressed","4.56% ","3.37% ","suppressed","4.28% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","36.7% ","suppressed","suppressed","40.2% ","35.8% ","33.9% ","32.4% ","38.7% ","3.40% ","suppressed","suppressed","10.87% ","4.68% ","1.85% ","7.80% ","3.12% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","24.3% ","suppressed","suppressed","suppressed","28.6% ","22.4% ","suppressed","23.5% ","1.73% ","suppressed","suppressed","suppressed","4.90% ","1.86% ","suppressed","1.67% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","20.3% ","14.4%*","18.2% ","22.7% ","17.4% ","21.9% ","21.7% ","20.0% ","1.35% ","5.84%*","4.54% ","4.18% ","2.96% ","1.81% ","3.75% ","1.43% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","4.5%*","suppressed","suppressed","11.0%*","1.7%*","0% ","22.8%*","0.4%*","2.12%*","suppressed","suppressed","9.51%*","1.74%*","0% ","10.33%*","0.42%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","65.5% ","suppressed","suppressed","47.3%*","40.7%*","86.0% ","36.9%*","71.8% ","5.06% ","suppressed","suppressed","15.12%*","13.94%*","5.36% ","12.81%*","5.57% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","15.7% ","7.5%*","20.3% ","17.4% ","15.6% ","15.0% ","17.4% ","14.9% ","1.73% ","3.25%*","4.29% ","3.84% ","3.79% ","1.92% ","2.93% ","2.13% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.1% ","suppressed","suppressed","suppressed","20.8% ","23.6% ","suppressed","23.1% ","1.92% ","suppressed","suppressed","suppressed","3.98% ","2.19% ","suppressed","1.81% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","16,005 ","suppressed","13,832 ","12,313 ","16,231 ","17,090 ","14,048 ","16,288 ","529.36 ","suppressed","2100.15 ","1450.13 ","1148.56 ","537.19 ","1213.74 ","578.82 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","15,192 ","suppressed","suppressed","13,703 ","15,592 ","16,943 ","14,459 ","15,470 ","782.20 ","suppressed","suppressed","1931.86 ","1327.92 ","720.43 ","1313.31 ","954.82 "
