"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,623 ","26,267 ","20,372 ","26,051 ","28,390 ","26,511 ","24,389 ","27,077 ","706.69 ","4655.23 ","1712.72 ","1145.80 ","1990.24 ","706.02 ","1410.91 ","785.88 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","27,745 ","suppressed","19,398 ","24,298 ","30,664 ","28,050 ","22,267 ","29,056 ","1763.94 ","suppressed","1428.17 ","2719.24 ","2954.64 ","1250.69 ","2224.97 ","1714.05 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,764 ","suppressed","21,620 ","26,890 ","28,260 ","26,338 ","26,386 ","26,822 ","782.55 ","suppressed","1492.56 ","1407.01 ","2737.87 ","791.15 ","2114.17 ","841.79 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","24,218 ","suppressed","suppressed","suppressed","25,842 ","24,171 ","22,110 ","25,139 ","1711.42 ","suppressed","suppressed","suppressed","3014.77 ","1127.05 ","2500.84 ","1948.50 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,753 ","26,267 ","19,802 ","25,115 ","21,870 ","24,370 ","23,886 ","23,662 ","1016.63 ","4655.23 ","1760.35 ","1488.23 ","3352.36 ","1383.77 ","1678.34 ","1272.48 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,993 ","suppressed","suppressed","27,573 ","30,204 ","27,027 ","26,169 ","28,099 ","809.76 ","suppressed","suppressed","1811.19 ","2073.40 ","742.58 ","2332.35 ","840.93 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,720 ","suppressed","suppressed","8,004 ","8,407 ","5,762 ","5,659 ","6,936 ","660.53 ","suppressed","suppressed","1539.04 ","2319.72 ","428.83 ","1214.13 ","755.66 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,108 ","suppressed","suppressed","suppressed","5,102 ","6,470 ","suppressed","6,016 ","690.20 ","suppressed","suppressed","suppressed","722.03 ","941.73 ","suppressed","741.50 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,112 ","suppressed","suppressed","8,265 ","10,824*","5,701 ","5,565 ","7,351 ","904.78 ","suppressed","suppressed","1773.92 ","4150.51*","508.08 ","1371.82 ","1019.00 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,724 ","suppressed","suppressed","suppressed","suppressed","4,470 ","suppressed","6,017 ","1258.10 ","suppressed","suppressed","suppressed","suppressed","395.73 ","suppressed","1086.57 "
