"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","29,360 ","suppressed","27,878 ","30,623 ","30,690 ","28,428 ","26,345 ","30,453 ","717.32 ","suppressed","2179.04 ","1248.66 ","1231.76 ","1033.77 ","1480.96 ","817.50 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","29,382 ","suppressed","27,495 ","suppressed","30,703 ","29,046 ","27,495 ","29,449 ","1438.18 ","suppressed","204.60 ","suppressed","4074.08 ","1494.48 ","204.60 ","1486.43 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","8,028 ","suppressed","6,512*","8,255 ","7,071 ","8,948 ","7,114 ","8,191 ","657.90 ","suppressed","2008.62*","988.64 ","1156.65 ","1001.33 ","1325.42 ","734.94 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,126 ","suppressed","11,090 ","suppressed","suppressed","suppressed","suppressed","7,582 ","1769.84 ","suppressed","657.12 ","suppressed","suppressed","suppressed","suppressed","2019.46 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,637 ","suppressed","suppressed","8,403 ","7,226 ","8,143 ","6,687 ","7,793 ","567.91 ","suppressed","suppressed","1056.09 ","1204.73 ","700.28 ","1628.84 ","601.11 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","11,995*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","3637.53*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,005 ","suppressed","7,536 ","8,255 ","6,256 ","11,192 ","7,693 ","8,118 ","1072.44 ","suppressed","2208.55 ","988.64 ","1133.80 ","3158.19 ","1326.67 ","1377.33 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,051 ","suppressed","suppressed","suppressed","suppressed","8,214 ","suppressed","8,246 ","738.00 ","suppressed","suppressed","suppressed","suppressed","712.34 ","suppressed","730.20 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.3% ","suppressed","23.4%*","27.0% ","23.0% ","31.0% ","26.9% ","27.4% ","2.18% ","suppressed","7.84%*","3.89% ","3.32% ","3.42% ","5.37% ","2.37% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.3% ","suppressed","40.8% ","suppressed","suppressed","suppressed","suppressed","26.5% ","5.77% ","suppressed","3.09% ","suppressed","suppressed","suppressed","suppressed","6.66% "
