"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,611 ","suppressed","suppressed","suppressed","suppressed","6,417 ","suppressed","6,300 ","621.47 ","suppressed","suppressed","suppressed","suppressed","589.47 ","suppressed","546.00 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","23.4% ","suppressed","suppressed","30.5% ","23.0% ","22.6% ","26.7% ","22.8% ","1.71% ","suppressed","suppressed","9.00% ","4.29% ","1.80% ","6.04% ","1.71% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","22.7% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","23.9% ","4.92% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.99% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.7% ","suppressed","suppressed","43.1% ","21.1% ","23.8% ","46.0% ","23.7% ","2.39% ","suppressed","suppressed","7.01% ","4.75% ","2.77% ","8.61% ","2.31% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","18.3% ","suppressed","suppressed","suppressed","suppressed","19.6% ","suppressed","19.9% ","2.41% ","suppressed","suppressed","suppressed","suppressed","0.61% ","suppressed","2.28% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","20.1% ","suppressed","suppressed","suppressed","22.3% ","16.8% ","23.1% ","19.3% ","2.32% ","suppressed","suppressed","suppressed","4.54% ","2.28% ","6.11% ","2.43% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","28.4% ","suppressed","suppressed","suppressed","suppressed","26.9% ","suppressed","27.2% ","2.29% ","suppressed","suppressed","suppressed","suppressed","2.14% ","suppressed","2.05% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","17.5% ","13.2%*","8.3%*","9.4% ","14.5% ","24.4% ","10.1% ","20.0% ","2.05% ","4.70%*","2.77%*","2.63% ","3.82% ","3.77% ","2.25% ","2.63% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","13.9% ","suppressed","suppressed","33.7%*","29.4%*","1.7%*","42.7% ","8.9%*","3.85% ","suppressed","suppressed","15.88%*","11.60%*","1.14%*","12.03% ","3.62%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","40.6% ","suppressed","suppressed","20.5%*","13.3%*","55.5% ","16.7%*","44.7% ","9.21% ","suppressed","suppressed","12.17%*","7.84%*","13.28% ","7.07%*","10.52% "
