"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","25,076 ","suppressed","22,026 ","24,807 ","27,343 ","25,096 ","22,908 ","26,002 ","1525.01 ","suppressed","1341.76 ","1643.16 ","2812.20 ","3500.29 ","1608.22 ","2028.87 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,643 ","suppressed","suppressed","suppressed","23,929 ","27,174 ","suppressed","26,850 ","1300.93 ","suppressed","suppressed","suppressed","2125.45 ","1493.85 ","suppressed","1345.80 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,079 ","suppressed","suppressed","10,961 ","7,634 ","6,140 ","10,518 ","6,581 ","441.56 ","suppressed","suppressed","2131.28 ","694.01 ","539.67 ","1597.64 ","438.74 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,643 ","6,887 ","suppressed","suppressed","7,187 ","5,796 ","suppressed","6,223 ","922.15 ","653.64 ","suppressed","suppressed","418.81 ","548.16 ","suppressed","478.98 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,006 ","suppressed","suppressed","9,486 ","8,149 ","6,163 ","10,039 ","6,682 ","525.90 ","suppressed","suppressed","1892.73 ","965.63 ","644.24 ","2024.03 ","534.35 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,060 ","suppressed","suppressed","suppressed","4,559 ","suppressed","suppressed","6,088 ","1048.86 ","suppressed","suppressed","suppressed","784.61 ","suppressed","suppressed","915.73 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,740 ","suppressed","suppressed","9,944 ","8,496 ","suppressed","9,768 ","8,301 ","922.24 ","suppressed","suppressed","2315.84 ","784.31 ","suppressed","1759.82 ","1079.42 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,213 ","suppressed","suppressed","17,402 ","6,089 ","5,787 ","suppressed","5,929 ","395.64 ","suppressed","suppressed","1553.31 ","995.08 ","382.64 ","suppressed","365.10 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","27.1% ","suppressed","47.2% ","44.0% ","29.2% ","22.8% ","46.6% ","24.7% ","1.44% ","suppressed","8.60% ","7.74% ","3.30% ","1.46% ","6.40% ","1.30% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","31.3% ","suppressed","suppressed","suppressed","26.7% ","22.8% ","60.5% ","24.0% ","4.28% ","suppressed","suppressed","suppressed","2.36% ","1.95% ","9.43% ","1.89% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","26.4% ","suppressed","suppressed","suppressed","30.6% ","22.7% ","42.3% ","24.9% ","1.61% ","suppressed","suppressed","suppressed","4.30% ","1.74% ","8.07% ","1.55% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.8% ","suppressed","suppressed","suppressed","suppressed","25.6% ","suppressed","24.2% ","3.35% ","suppressed","suppressed","suppressed","suppressed","1.89% ","suppressed","2.49% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","34.9% ","suppressed","suppressed","40.1% ","31.1% ","suppressed","42.6% ","31.9% ","3.49% ","suppressed","suppressed","8.44% ","4.15% ","suppressed","7.17% ","3.83% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.3% ","suppressed","suppressed","68.2% ","25.4% ","21.3% ","suppressed","22.1% ","1.05% ","suppressed","suppressed","4.87% ","4.30% ","0.75% ","suppressed","0.83% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.0% ","suppressed","19.5% ","11.8% ","16.4% ","30.3% ","17.3% ","24.2% ","1.25% ","suppressed","3.55% ","1.63% ","1.78% ","2.10% ","2.59% ","1.43% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","1.9%*","suppressed","suppressed","14.9%*","0% ","0% ","15.1%*","0% ","0.89%*","suppressed","suppressed","10.38%*","0% ","0% ","6.79%*","0% "
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","65.7% ","suppressed","suppressed","13.6%*","35.8%*","86.3% ","18.9%*","72.5% ","4.19% ","suppressed","suppressed","7.70%*","11.90%*","4.59% ","8.06%*","4.46% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","16.7% ","suppressed","18.0% ","12.4% ","14.1% ","27.7% ","16.8% ","16.7% ","1.48% ","suppressed","4.15% ","1.79% ","1.98% ","3.47% ","2.87% ","1.72% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","28.7% ","suppressed","suppressed","suppressed","23.2% ","30.7% ","suppressed","29.1% ","1.92% ","suppressed","suppressed","suppressed","2.49% ","2.37% ","suppressed","2.01% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","18,908 ","suppressed","20,186 ","16,077 ","18,948 ","19,467 ","18,479 ","18,969 ","660.52 ","suppressed","1871.69 ","1197.27 ","1583.38 ","826.13 ","1271.76 ","730.91 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","18,744 ","suppressed","22,459 ","16,376 ","19,830 ","18,049 ","19,558 ","18,532 ","1100.68 ","suppressed","1705.19 ","1321.03 ","1998.61 ","1761.22 ","1382.92 ","1345.74 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","19,042 ","suppressed","suppressed","13,390 ","16,965 ","19,771 ","15,196 ","19,267 ","819.68 ","suppressed","suppressed","964.69 ","1337.59 ","923.51 ","632.88 ","850.66 "
