"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,612 ","suppressed","suppressed","2,040 ","1,366 ","1,520 ","1,487 ","1,673 ","196.33 ","suppressed","suppressed","396.62 ","194.15 ","342.51 ","395.23 ","217.25 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,787 ","suppressed","suppressed","suppressed","1,611 ","1,801 ","suppressed","1,777 ","159.13 ","suppressed","suppressed","suppressed","272.79 ","176.98 ","suppressed","157.97 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.5% ","suppressed","suppressed","28.1% ","20.2% ","22.3% ","20.9% ","22.8% ","1.67% ","suppressed","suppressed","6.45% ","2.91% ","1.96% ","5.10% ","1.73% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","10.4% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8.8% ","2.61% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2.28% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.0% ","suppressed","suppressed","27.6% ","21.5% ","25.9% ","19.9%*","25.9% ","1.76% ","suppressed","suppressed","6.89% ","2.79% ","1.97% ","6.18%*","1.75% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.4% ","suppressed","suppressed","suppressed","suppressed","27.8% ","suppressed","21.2% ","5.25% ","suppressed","suppressed","suppressed","suppressed","3.13% ","suppressed","5.51% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.7% ","suppressed","suppressed","29.4% ","20.1% ","21.1% ","20.1% ","24.1% ","3.11% ","suppressed","suppressed","6.71% ","2.99% ","5.96% ","5.75% ","3.67% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.4% ","suppressed","suppressed","suppressed","20.4% ","22.5% ","suppressed","22.3% ","1.98% ","suppressed","suppressed","suppressed","5.45% ","2.18% ","suppressed","2.00% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","61.4% ","68.7% ","65.2% ","73.5% ","66.3% ","57.3% ","70.2% ","60.1% ","1.65% ","7.49% ","8.32% ","5.96% ","4.31% ","1.51% ","4.88% ","1.65% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","15.1% ","suppressed","suppressed","31.2%*","9.6%*","8.2% ","48.1% ","9.1% ","2.76% ","suppressed","suppressed","11.67%*","4.48%*","1.29% ","11.35% ","1.67% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","59.0% ","suppressed","suppressed","9.4%*","34.5% ","85.2% ","13.5%*","67.3% ","6.00% ","suppressed","suppressed","6.85%*","8.82% ","8.31% ","7.67%*","6.71% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","68.0% ","65.4% ","62.9% ","71.8% ","70.6% ","63.6% ","67.2% ","68.4% ","2.94% ","7.34% ","8.59% ","6.28% ","5.75% ","3.92% ","5.19% ","3.59% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","57.6% ","suppressed","suppressed","95.1% ","59.4% ","56.3% ","98.6% ","56.7% ","1.43% ","suppressed","suppressed","2.65% ","5.17% ","1.28% ","0.86% ","1.28% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","21,932 ","suppressed","suppressed","19,750 ","20,953 ","22,678 ","18,158 ","22,249 ","614.71 ","suppressed","suppressed","1756.78 ","2464.80 ","594.88 ","1890.39 ","622.97 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","21,447 ","suppressed","suppressed","suppressed","19,430 ","22,753 ","11,882 ","22,284 ","1503.25 ","suppressed","suppressed","suppressed","1785.98 ","1611.18 ","1004.67 ","1451.98 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","21,796 ","suppressed","suppressed","20,273 ","19,364 ","22,582 ","19,712 ","21,967 ","635.96 ","suppressed","suppressed","1839.51 ","2190.36 ","622.90 ","2387.94 ","646.50 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","20,907 ","suppressed","suppressed","19,894 ","17,897 ","26,940 ","18,158 ","21,950 ","1442.28 ","suppressed","suppressed","1725.10 ","2601.92 ","1669.94 ","1890.39 ","1744.48 "
