"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","67.9% ","suppressed","74.1% ","60.2% ","70.3% ","71.4% ","73.6% ","65.7% ","3.31% ","suppressed","6.07% ","6.75% ","4.69% ","6.46% ","4.11% ","4.31% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","58.0% ","suppressed","suppressed","65.5% ","56.4% ","57.0% ","69.3% ","56.9% ","1.98% ","suppressed","suppressed","3.77% ","3.82% ","2.36% ","7.55% ","2.01% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,947 ","suppressed","suppressed","22,246 ","25,095 ","28,123 ","22,393 ","26,446 ","839.85 ","suppressed","suppressed","1565.93 ","1543.45 ","898.15 ","2068.08 ","892.77 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,374 ","suppressed","suppressed","19,229 ","24,883 ","25,847 ","suppressed","22,621 ","2181.91 ","suppressed","suppressed","1190.27 ","4242.59 ","1176.74 ","suppressed","2456.44 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,775 ","suppressed","suppressed","24,459 ","24,531 ","28,735 ","22,450 ","27,292 ","936.18 ","suppressed","suppressed","1974.38 ","847.01 ","1046.82 ","3258.06 ","910.36 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,768 ","suppressed","suppressed","21,554 ","27,910 ","26,050 ","23,274 ","26,442 ","1241.29 ","suppressed","suppressed","1554.17 ","5225.16 ","722.99 ","2052.61 ","1367.30 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,009 ","suppressed","suppressed","21,371 ","26,586 ","24,949 ","21,489 ","23,524 ","1267.13 ","suppressed","suppressed","1488.19 ","1534.78 ","1184.83 ","2561.11 ","1439.10 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,495 ","suppressed","suppressed","28,739 ","24,242 ","28,570 ","24,599 ","27,662 ","962.47 ","suppressed","suppressed","2392.83 ","2134.90 ","1005.02 ","3002.44 ","1000.63 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,013 ","suppressed","suppressed","6,686*","7,020 ","6,930 ","9,801 ","6,622 ","589.70 ","suppressed","suppressed","2158.40*","972.16 ","660.71 ","1567.18 ","606.12 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,410*","suppressed","suppressed","suppressed","suppressed","7,279 ","suppressed","4,265*","1734.31*","suppressed","suppressed","suppressed","suppressed","830.25 ","suppressed","1864.30*"
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,514 ","suppressed","suppressed","9,574 ","7,435 ","6,960 ","10,905 ","7,108 ","589.19 ","suppressed","suppressed","1597.05 ","743.05 ","792.57 ","1721.58 ","594.72 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,332 ","suppressed","suppressed","suppressed","suppressed","6,683 ","suppressed","6,792 ","1025.69 ","suppressed","suppressed","suppressed","suppressed","1020.65 ","suppressed","882.46 "
