"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","28,700 ","20,054 ","27,888 ","30,659 ","28,973 ","29,622 ","23,892 ","29,669 ","923.35 ","3997.22 ","2579.83 ","2379.49 ","1795.53 ","1110.05 ","2578.26 ","964.64 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","27,801 ","suppressed","suppressed","31,252 ","28,283 ","26,527 ","31,563 ","26,996 ","1635.54 ","suppressed","suppressed","2612.23 ","1654.51 ","2129.40 ","2610.16 ","1559.55 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","29,357 ","22,333 ","23,820 ","30,575 ","29,402 ","30,705 ","22,515 ","30,558 ","1124.97 ","4188.44 ","1641.59 ","3764.04 ","2314.75 ","1304.51 ","2526.07 ","1197.58 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,909 ","suppressed","suppressed","suppressed","27,193 ","27,888 ","suppressed","27,815 ","2524.22 ","suppressed","suppressed","suppressed","2070.00 ","2717.14 ","suppressed","1697.38 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,529 ","20,054 ","28,890 ","32,001 ","27,212 ","24,031 ","24,064 ","27,829 ","1396.53 ","3997.22 ","2548.24 ","2382.50 ","1591.60 ","1712.33 ","2860.70 ","1526.83 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","30,371 ","suppressed","suppressed","23,271 ","31,477 ","30,350 ","22,432 ","30,626 ","1108.95 ","suppressed","suppressed","2053.38 ","2869.99 ","1088.06 ","1914.48 ","1122.39 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","4,979 ","suppressed","suppressed","4,885 ","4,064 ","4,853 ","6,788*","4,614 ","586.39 ","suppressed","suppressed","1317.07 ","697.17 ","724.53 ","2368.70*","500.31 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,793 ","suppressed","suppressed","suppressed","suppressed","4,492*","suppressed","5,432 ","1231.92 ","suppressed","suppressed","suppressed","suppressed","1664.23*","suppressed","1358.29 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,136 ","suppressed","suppressed","6,031 ","3,331 ","5,090 ","9,373*","4,392 ","725.39 ","suppressed","suppressed","1198.34 ","711.53 ","849.83 ","2891.40*","573.44 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,268 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4,807 ","1044.11 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1147.82 "
