"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,496 ","suppressed","27,829 ","24,305 ","25,223 ","24,939 ","28,033 ","25,284 ","1201.56 ","suppressed","2189.22 ","1951.88 ","1759.25 ","1405.62 ","1998.43 ","1054.78 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,916 ","suppressed","suppressed","27,263 ","24,377 ","27,968 ","26,020 ","26,983 ","836.07 ","suppressed","suppressed","2153.62 ","1279.39 ","1058.57 ","3012.18 ","867.03 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,369 ","suppressed","suppressed","9,575 ","7,293 ","5,960 ","4,775 ","6,641 ","375.42 ","suppressed","suppressed","1712.97 ","772.83 ","314.56 ","1429.41 ","331.13 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,207 ","suppressed","suppressed","15,000 ","suppressed","5,018 ","suppressed","6,707 ","971.03 ","suppressed","suppressed","193.95 ","suppressed","236.28 ","suppressed","945.01 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,718 ","suppressed","suppressed","suppressed","7,047 ","6,668 ","5,720 ","6,920 ","388.73 ","suppressed","suppressed","suppressed","679.94 ","339.42 ","1540.95 ","317.61 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,857 ","suppressed","suppressed","suppressed","suppressed","4,623 ","suppressed","5,215 ","1012.05 ","suppressed","suppressed","suppressed","suppressed","761.53 ","suppressed","1037.16 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,890 ","suppressed","suppressed","9,514 ","11,022 ","suppressed","4,294*","8,938 ","1321.51 ","suppressed","suppressed","1789.33 ","2126.62 ","suppressed","1796.41*","1671.08 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,234 ","suppressed","suppressed","suppressed","6,138 ","6,061 ","suppressed","6,284 ","327.20 ","suppressed","suppressed","suppressed","750.75 ","313.35 ","suppressed","322.52 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","23.7% ","suppressed","suppressed","36.9% ","29.7% ","21.5% ","17.5%*","24.8% ","1.52% ","suppressed","suppressed","6.92% ","3.23% ","0.97% ","6.13%*","1.24% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.5% ","suppressed","suppressed","suppressed","suppressed","19.3% ","suppressed","26.1% ","4.28% ","suppressed","suppressed","suppressed","suppressed","1.25% ","suppressed","4.17% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.7% ","suppressed","suppressed","suppressed","29.6% ","24.2% ","22.3%*","26.4% ","1.66% ","suppressed","suppressed","suppressed","2.71% ","1.10% ","7.27%*","1.24% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","15.5% ","suppressed","suppressed","suppressed","suppressed","14.1% ","suppressed","16.8% ","2.98% ","suppressed","suppressed","suppressed","suppressed","0.68% ","suppressed","3.04% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","26.0% ","suppressed","suppressed","39.1% ","43.7% ","suppressed","15.3%*","35.4% ","5.60% ","suppressed","suppressed","5.21% ","7.38% ","suppressed","7.11%*","6.58% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.2% ","suppressed","suppressed","suppressed","25.2% ","21.7% ","suppressed","23.3% ","1.26% ","suppressed","suppressed","suppressed","3.24% ","1.02% ","suppressed","1.22% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.1% ","suppressed","23.8% ","12.7% ","27.3% ","25.5% ","20.8% ","24.8% ","1.50% ","suppressed","5.93% ","2.65% ","2.86% ","1.99% ","4.47% ","1.57% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","8.0%*","suppressed","suppressed","suppressed","6.0%*","0% ","44.6%*","1.8%*","3.50%*","suppressed","suppressed","suppressed","5.46%*","0% ","15.57%*","1.66%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","79.4% ","suppressed","suppressed","suppressed","76.3% ","92.7% ","38.0%*","86.5% ","4.49% ","suppressed","suppressed","suppressed","8.27% ","4.81% ","12.23%*","4.18% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","21.4% ","suppressed","22.3% ","15.6% ","22.0% ","suppressed","21.4% ","21.4% ","2.98% ","suppressed","4.26% ","3.22% ","4.36% ","suppressed","5.26% ","3.34% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","24.9% ","suppressed","suppressed","suppressed","29.5% ","25.3% ","19.8%*","25.4% ","1.74% ","suppressed","suppressed","suppressed","3.48% ","2.12% ","6.46%*","1.80% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,232 ","suppressed","17,419 ","15,856 ","16,733 ","17,754 ","15,704 ","17,402 ","530.74 ","suppressed","1659.17 ","1507.54 ","936.67 ","723.26 ","1523.62 ","564.45 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","15,142 ","suppressed","suppressed","14,404 ","14,777 ","15,569 ","16,060 ","14,655 ","830.45 ","suppressed","suppressed","1537.72 ","1216.95 ","1538.48 ","1880.51 ","723.67 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","17,720 ","suppressed","suppressed","17,437 ","17,415 ","17,867 ","suppressed","17,839 ","627.75 ","suppressed","suppressed","2590.92 ","1178.09 ","763.44 ","suppressed","647.15 "
