"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","21.3%*","suppressed","suppressed","suppressed","39.6% ","suppressed","suppressed","14.5%*","6.68%*","suppressed","suppressed","suppressed","7.13% ","suppressed","suppressed","5.05%*"
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","36.7% ","suppressed","45.7% ","30.9% ","34.3% ","38.3% ","34.3% ","37.0% ","4.56% ","suppressed","4.55% ","6.83% ","6.40% ","6.61% ","6.98% ","5.05% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","30.6% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","29.8% ","8.53% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8.63% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","32.1% ","suppressed","46.5% ","38.6% ","36.6% ","15.9% ","37.9% ","29.5% ","4.23% ","suppressed","4.57% ","10.01% ","7.56% ","3.76% ","6.71% ","5.39% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","35.6% ","suppressed","suppressed","suppressed","27.5% ","37.8% ","36.6% ","35.6% ","5.12% ","suppressed","suppressed","suppressed","2.60% ","5.99% ","1.57% ","5.16% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","20.8% ","14.7%*","10.0% ","18.9% ","16.0% ","26.4% ","14.4% ","22.3% ","1.38% ","4.67%*","2.44% ","4.57% ","2.45% ","2.05% ","2.17% ","1.61% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","6.8%*","suppressed","suppressed","28.1%*","5.3%*","1.9%*","9.6%*","6.3%*","3.21%*","suppressed","suppressed","18.53%*","4.79%*","1.35%*","5.82%*","3.61%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","64.8% ","suppressed","suppressed","44.9%*","32.4%*","87.6% ","suppressed","74.3% ","5.36% ","suppressed","suppressed","18.67%*","10.05%*","4.57% ","suppressed","5.50% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","14.6% ","14.4%*","10.6% ","12.7% ","16.7% ","16.1% ","14.6% ","14.5% ","1.81% ","4.79%*","2.92% ","2.85% ","3.64% ","4.62% ","2.32% ","2.52% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","27.0% ","suppressed","suppressed","suppressed","14.8% ","29.1% ","suppressed","27.4% ","1.81% ","suppressed","suppressed","suppressed","1.80% ","2.12% ","suppressed","1.84% "
